Department,Topic,Sub_Topic,question_name,question_url,question_answer,document
Creative Industries,Current Students,Exam Information,What should I do if I have an exam conflict or overload for creative industries programs?,https://www.torontomu.ca/creativeindustries/academic-advising/faqs/#accordion-content-1703033103022-what-should-i-do-if-i-have-an-exam-conflict-or-overload-,"Check your examination schedule as soon as it is released to make sure you do not have a conflict or overload:

Conflict: two final exams at the same time
Overload: three final exams on the same day, or three consecutive exam sessions. Exam sessions usually start in the morning, noon, afternoon or evening
If you have a conflict or overload, you must notify your program department. See deadline to notify your program","What should I do if I have an exam conflict or overload for creative industries programs?
Check your examination schedule as soon as it is released to make sure you do not have a conflict or overload:

Conflict: two final exams at the same time
Overload: three final exams on the same day, or three consecutive exam sessions. Exam sessions usually start in the morning, noon, afternoon or evening
If you have a conflict or overload, you must notify your program department. See deadline to notify your program"
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,Where can I find a list of Child and Youth Care courses?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1527883143347-where-can-i-find-a-list-of-child-and-youth-care-courses-,"Check the current Undergraduate Calendar for information on Child and Youth Care courses. If you are considering the Full-time, Four-year program, view semesters one through eight. If you are considering one of the Direct Entry programs, please view semesters five through eight.","Where can I find a list of Child and Youth Care courses?
Check the current Undergraduate Calendar for information on Child and Youth Care courses. If you are considering the Full-time, Four-year program, view semesters one through eight. If you are considering one of the Direct Entry programs, please view semesters five through eight."
School of Urban and Regional Planning,Urban Development,Program Information,Is urban planning a suitable profession for me?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588399-is-urban-planning-a-suitable-profession-for-me-,"Check out the Canadian Institute of Planners (CIP) website for an excellent introduction to urban planning
(external link)
. The Ontario Professional Planners Institute website also has helpful resources about the profession of urban planning
(external link)
.","Is urban planning a suitable profession for me?
Check out the Canadian Institute of Planners (CIP) website for an excellent introduction to urban planning
(external link)
. The Ontario Professional Planners Institute website also has helpful resources about the profession of urban planning
(external link)
."
Future Students,Accomodations,Academic Accomodation Support,I have questions about a specific accommodation. Can you help?,https://www.torontomu.ca/accommodations/faq/#accordion-content-1702070207541-i-have-questions-about-a-specific-accommodation--can-you-help-,Check out our Managing Accommodations page for more information about using your accommodations.,"I have questions about a specific accommodation. Can you help?
Check out our Managing Accommodations page for more information about using your accommodations."
Computing and Communications Services,Google Workspace,Google Chat,What happened to the message previews when chatting in Gmail?,https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595368867146-what-happened-to-the-message-previews-when-chatting-in-gmail-,"Chat previews are no longer available in Google Chat in Gmail. If you are using the mobile app you will be able to see direct and group message previews. Previews are still available in classic Hangouts on the web through hangouts.google.com
(external link)
.","What happened to the message previews when chatting in Gmail?
Chat previews are no longer available in Google Chat in Gmail. If you are using the mobile app you will be able to see direct and group message previews. Previews are still available in classic Hangouts on the web through hangouts.google.com
(external link)
."
Computing and Communications Services,Computing and Communications Service,lab,How do I change my password?,https://www.torontomu.ca/ccs/services/labsandprinting/labs/faq/#accordion-content-1500996936056-how-do-i-change-my-password-,Change your account passwords often for security. To change your password see the section on changing your my.torontomu password.,"How do I change my password?
Change your account passwords often for security. To change your password see the section on changing your my.torontomu password."
Computing and Communications Services,Google Workspace,General,When everyone is moved to Google apps will my calendar be public to TMU employees and students?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1497019863360-when-everyone-is-moved-to-google-apps-will-my-calendar-be-public-to-tmu-employees-and-students-,"By default calendars are set to private with one exception: All employee calendars (including faculty, staff, and academic assistants) are set so they can look up each other's free/busy status when booking a meeting.Students cannot see employee's free/busy status unless the employee allows them to. You can also remove sharing of your free/busy status or share your calendar with people if you like.","When everyone is moved to Google apps will my calendar be public to TMU employees and students?
By default calendars are set to private with one exception: All employee calendars (including faculty, staff, and academic assistants) are set so they can look up each other's free/busy status when booking a meeting.Students cannot see employee's free/busy status unless the employee allows them to. You can also remove sharing of your free/busy status or share your calendar with people if you like."
Ted Rogers School of Management,Business Career Hub,Co-op,What if I'm not fully qualified for the co-op program?,https://www.torontomu.ca/tedrogersschool/business-career-hub/co-op/faq/#accordion-content-1698683298032-what-if-i-m-not-fully-qualified-for-the-co-op-program-,"Book a drop-in
(opens in new window)
(15-minutes) or 1-1 appointment
(external link, opens in new window)
(30-minutes) with any of the Hub's Career Coordinators - we can discuss your situation and support you with any next steps.","What if I'm not fully qualified for the co-op program?
Book a drop-in
(opens in new window)
(15-minutes) or 1-1 appointment
(external link, opens in new window)
(30-minutes) with any of the Hub's Career Coordinators - we can discuss your situation and support you with any next steps."
Ted Rogers School of Management,MBA,International Students-Language Proficiency Requirements,What are your English Language Proficiency requirements  for Ted Rogers MBA program?,https://www.torontomu.ca/mba/contact-faq/#accordion-content-1605117450499-what-are-your-english-language-proficiency-requirements-,"Below is a list of acceptable English Language Tests and the minimum score requirement. For more details go to Yeates School of Graduate and Postdoctoral Studies website.

Academic Program	TOEFL (IBT)	IELTS- Academic	PTE
MBA	100	7.5	68","What are your English Language Proficiency requirements  for Ted Rogers MBA program?
Below is a list of acceptable English Language Tests and the minimum score requirement. For more details go to Yeates School of Graduate and Postdoctoral Studies website.

Academic Program	TOEFL (IBT)	IELTS- Academic	PTE
MBA	100	7.5	68"
Ted Rogers School of Management,Business Management,Deregistration,What should a student do when they get a notice saying they are deregistered  for Business Management program?,https://www.torontomu.ca/tedrogersschool/business-management/faqs/#accordion-content-1551976414190-what-should-a-student-do-when-they-get-a-notice-saying-they-are-deregistered-,"Before the notice is sent, The Ted Rogers School of Business Management drops them out of all their courses. There is nothing else they must do except keep the letter somewhere safe, since it if the proof that we have done so.","What should a student do when they get a notice saying they are deregistered  for Business Management program?
Before the notice is sent, The Ted Rogers School of Business Management drops them out of all their courses. There is nothing else they must do except keep the letter somewhere safe, since it if the proof that we have done so."
Computing and Communications Services,Google Workspace,Google Mail ,Copying File Attachments,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497884831944-copying-file-attachments,"Because Gmail is a web-based system, you can't drag a file attachment from one message to another. As a workaround, you can do the following:Open the message or conversation that contains the file attachment.
If the file is attached to a single message, click Forward (from the drop-menu at the top of the message). If it's attached to a message in a conversation, click Forward all on the right.
Delete all the ""forwarded"" content from original messages, which appears at the bottom of your new message. Note that the file attachment remains with the forwarded message.
Then compose your new message and send it.Alternatively, you can download the attachment and then upload it to another message.","Copying File Attachments
Because Gmail is a web-based system, you can't drag a file attachment from one message to another. As a workaround, you can do the following:Open the message or conversation that contains the file attachment.
If the file is attached to a single message, click Forward (from the drop-menu at the top of the message). If it's attached to a message in a conversation, click Forward all on the right.
Delete all the ""forwarded"" content from original messages, which appears at the bottom of your new message. Note that the file attachment remains with the forwarded message.
Then compose your new message and send it.Alternatively, you can download the attachment and then upload it to another message."
Computing and Communications Services,Google Workspace,Google Mail ,How can I copy a file attachment from one message to another?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555555133-how-can-i-copy-a-file-attachment-from-one-message-to-another-,"Because Gmail is a web-based system, you can't drag a file attachment from one message to another. As a workaround, you can do the following:

Open the message or conversation that contains the file attachment.
If the file is attached to a single message, click Forward (from the drop-menu at the top of the message). If it's attached to a message in a conversation, click Forward all on the right.
Delete all the ""forwarded"" content from original messages, which appears at the bottom of your new message. Note that the file attachment remains with the forwarded message.
Then compose your new message and send it.Alternatively, you can download the attachment and then upload it to another message.","How can I copy a file attachment from one message to another?
Because Gmail is a web-based system, you can't drag a file attachment from one message to another. As a workaround, you can do the following:

Open the message or conversation that contains the file attachment.
If the file is attached to a single message, click Forward (from the drop-menu at the top of the message). If it's attached to a message in a conversation, click Forward all on the right.
Delete all the ""forwarded"" content from original messages, which appears at the bottom of your new message. Note that the file attachment remains with the forwarded message.
Then compose your new message and send it.Alternatively, you can download the attachment and then upload it to another message."
Ted Rogers School of Management,Fit for Business,Fit for Business,"I'm interested in studying abroad, are there options for me in business management program?",https://www.torontomu.ca/tedrogersschool/fit-for-business/faqs/#accordion-content-1681315858898-i-m-interested-in-studying-abroad--are-there-options-for-me-,"At TRSM, you have the opportunity to apply to the International Student Exchange Program.
(opens in new window)
You can go on exchange for a semester or a full year while receiving full academic credit, equivalent to a full course load. TRSM is partnered with universities all across the world including Australia, Denmark, Germany, Mexico, Hong Kong, Singapore, Scotland, Spain and many
(google doc)
more international exchange partners
(external link, opens in new window)
.","I'm interested in studying abroad, are there options for me in business management program?
At TRSM, you have the opportunity to apply to the International Student Exchange Program.
(opens in new window)
You can go on exchange for a semester or a full year while receiving full academic credit, equivalent to a full course load. TRSM is partnered with universities all across the world including Australia, Denmark, Germany, Mexico, Hong Kong, Singapore, Scotland, Spain and many
(google doc)
more international exchange partners
(external link, opens in new window)
."
Centre of Excellence in Learning and Teaching,Curriculum Quality,Curriculum Mapping,Mapping software:Curriculum Insights(CI),https://www.torontomu.ca/curriculumquality/resources/curriculum-mapping/#!accordion-1598560758519-mapping-software--curriculum-insights--ci-,"At Toronto Metropolitan University, we have developed Curriculum Insights (CI), an easy-to-use online program to help faculty and instructors map their courses to the programs learning outcomes (PLOs), and generate full curriculum maps.As faculty and instructors map their course(s) to the PLOs, they also map the teaching methods and assessment methods to identify how students learn and are assessed on each outcome. Mapping these methods helps to identify which methods are used most often, and to ensure the delivery and assessment methods support students achievement of all program learning outcomes.Our Curriculum Insights mapping program is used to visualize the curriculum and generate a range of curriculum reports. It facilitates PPR and can be used to plan curriculum modifications and to help with accreditation mapping.
","Mapping software:Curriculum Insights(CI)
At Toronto Metropolitan University, we have developed Curriculum Insights (CI), an easy-to-use online program to help faculty and instructors map their courses to the programs learning outcomes (PLOs), and generate full curriculum maps.As faculty and instructors map their course(s) to the PLOs, they also map the teaching methods and assessment methods to identify how students learn and are assessed on each outcome. Mapping these methods helps to identify which methods are used most often, and to ensure the delivery and assessment methods support students achievement of all program learning outcomes.Our Curriculum Insights mapping program is used to visualize the curriculum and generate a range of curriculum reports. It facilitates PPR and can be used to plan curriculum modifications and to help with accreditation mapping.
"
Student Financial Assistance,Scholarships and Awards,OSAP,When are my tuition fees due?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545797148-when-are-my-tuition-fees-due-,"At TMU, undergraduate tuition fees are paid on a per semester basis. Fall term fees are due by early September, and winter term fees are due by early January. Visit our Significant Dates page of the Undergraduate Calendar to see when tuition payments are due.

For detailed instructions about paying your tuition through online banking, check out the How to Pay Your Fees page.","When are my tuition fees due?
At TMU, undergraduate tuition fees are paid on a per semester basis. Fall term fees are due by early September, and winter term fees are due by early January. Visit our Significant Dates page of the Undergraduate Calendar to see when tuition payments are due.

For detailed instructions about paying your tuition through online banking, check out the How to Pay Your Fees page."
School of Medicine,School of Medicine,Programs and Pathways,Is the School of Medicine considering programs for internationally-educated health professionals (IEHPs),https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1678895450751-is-the-school-of-medicine-considering-programs-for-internationally-educated-health-professionals--iehps-,"At this time, we do not have immediate plans to offer a bridging program for IEHPs in time for our opening in 2025. However, the School of Medicine intends to consider such a program in the years following our opening. 

IEHPs coming to Canada may also consider other pathways through TMU such as the Internationally Trained Health Professionals (ITHP) bridging program through the Chang School.","Is the School of Medicine considering programs for internationally-educated health professionals (IEHPs)
At this time, we do not have immediate plans to offer a bridging program for IEHPs in time for our opening in 2025. However, the School of Medicine intends to consider such a program in the years following our opening. 

IEHPs coming to Canada may also consider other pathways through TMU such as the Internationally Trained Health Professionals (ITHP) bridging program through the Chang School."
Computing and Communications Services,Google Workspace,Google Mail ,"I want to move my messages from my ""Sent Mail"" to another label in the web interface, but when I click ""Move to Inbox"" the message is still showing in ""Sent Mail."" Is it possible to do this using the web interface?",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555637872-i-want-to-move-my-messages-from-my--sent-mail--to-another-label-in-the-web-interface--but-when-i-click--move-to-inbox--the-message-is-still-showing-in--sent-mail---is-it-possible-to-do-this-using-the-web-interface-,"At this time, this is not possible in the web interface. One possible solution is to set up your account with a desktop email client such as Microsoft Outlook or Thunderbird, and move your messages around within it. You can find more information about setting up Outlook and Thunderbird at https://www.torontomu.ca/google/usingapps/viaemailclient.html.","I want to move my messages from my ""Sent Mail"" to another label in the web interface, but when I click ""Move to Inbox"" the message is still showing in ""Sent Mail."" Is it possible to do this using the web interface?
At this time, this is not possible in the web interface. One possible solution is to set up your account with a desktop email client such as Microsoft Outlook or Thunderbird, and move your messages around within it. You can find more information about setting up Outlook and Thunderbird at https://www.torontomu.ca/google/usingapps/viaemailclient.html."
Computing and Communications Services,Google Workspace,Google Mail ,Switching Labels In The Web Interface,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497885326766-switching-labels-in-the-web-interface,"At this time, it is not possible to move messages from ""Sent Mail"" to another label in the web interface. One possible solution is to set up your account with a desktop email client such as Microsoft Outlook or Thunderbird, and move your messages around within it. You can find more information about setting up Outlook and Thunderbird at https://www.torontomu.ca/google/usingapps/viaemailclient.html.","Switching Labels In The Web Interface
At this time, it is not possible to move messages from ""Sent Mail"" to another label in the web interface. One possible solution is to set up your account with a desktop email client such as Microsoft Outlook or Thunderbird, and move your messages around within it. You can find more information about setting up Outlook and Thunderbird at https://www.torontomu.ca/google/usingapps/viaemailclient.html."
Creative Industries,Current Students,Course Delivery and Structure,What does asynchronous mean for creative industries programs?,https://www.torontomu.ca/creativeindustries/academic-advising/faqs/#accordion-content-1703033103003-what-does-asynchronous-mean-,"Asynchronous online classes are self-directed learning online without a specific class meeting time every week on a day/time. You are able to work on this course at your own pace, but are still expected to meet any sort of weekly commitments (discussions, quizzes, simulations, etc.) and assignment deadlines. There is no weekly video meeting with your instructor and classmates. NOTE: You would see that you're enrolled in the course, but there is no designated timeblock on your schedule due to the asynchronous nature of the course. The course(s) can be found under your Weekly Schedule view in a table labelled 'Meeting information not available.'","What does asynchronous mean for creative industries programs?
Asynchronous online classes are self-directed learning online without a specific class meeting time every week on a day/time. You are able to work on this course at your own pace, but are still expected to meet any sort of weekly commitments (discussions, quizzes, simulations, etc.) and assignment deadlines. There is no weekly video meeting with your instructor and classmates. NOTE: You would see that you're enrolled in the course, but there is no designated timeblock on your schedule due to the asynchronous nature of the course. The course(s) can be found under your Weekly Schedule view in a table labelled 'Meeting information not available.'"
Daphne Cockwell Scholl of Nursing,Central Placement Office,COVID-19 Placement,Will I be required to provide care to COVID-19 patients while at placement?,https://www.torontomu.ca/nursing/central-placement-office/faqs/placement-during-covid-19/#accordion-content-1620076221451-will-i-be-required-to-provide-care-to-covid-19-patients-while-at-placement-,"As the pandemic evolves, COVID-19 positive patients are being admitted to hospitals in almost all clinical areas across hospitals and long-term care homes. As a result, all students will be expected to provide care to patients either under investigation and/or COVID positive.

This decision has been made based on the evolving knowledge of COVID-19 transmission, assessment, and treatment that has developed over the last several months. In addition, partner agencies have an adequate supply of PPE for student use along with a robust orientation program to ensure student safety.You are encouraged to discuss any concerns or strategies with your clinical instructor or faculty advisor to ensure you are able to receive a nursing placement experience that will allow you to meet course outcomes.","Will I be required to provide care to COVID-19 patients while at placement?
As the pandemic evolves, COVID-19 positive patients are being admitted to hospitals in almost all clinical areas across hospitals and long-term care homes. As a result, all students will be expected to provide care to patients either under investigation and/or COVID positive.

This decision has been made based on the evolving knowledge of COVID-19 transmission, assessment, and treatment that has developed over the last several months. In addition, partner agencies have an adequate supply of PPE for student use along with a robust orientation program to ensure student safety.You are encouraged to discuss any concerns or strategies with your clinical instructor or faculty advisor to ensure you are able to receive a nursing placement experience that will allow you to meet course outcomes."
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,Who was involved in the policy review?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409466022-who-was-involved-in-the-policy-review-,"As the co-owners of the policy, the Office of the Vice-President, Equity and Community Inclusion, the Office of the Provost and Vice-President, Academic, and the Office of the Vice-President, Administration and Operations led the SVP Review process.

The SVP Review involved a consultation process with TMU students, faculty, contract lecturers and staff, unions and other key stakeholders and subject-matter experts.

The SVP Core Advisory Group reviewed submissions and feedback received through the consultation process. The Core Advisory Group is comprised of staff from units across the university who have strong knowledge of the SVP and its implementation.

Core Advisory Group:

Acting Director, Human Rights Services
Director, Student Care and and Sexual Violence Support
Director, Strategic Partnerships & Labour Relations, Human Resources
Interim Vice-Provost, Faculty Affairs
Legal Counsel, Office of General Counsel and Board Secretariat
Two project managers: 

Policy Review Facilitator, Human Rights Services 
Strategic Projects Liaison, Office of the Vice Provost, Students
One external consultant: 

Policy writer","Who was involved in the policy review?
As the co-owners of the policy, the Office of the Vice-President, Equity and Community Inclusion, the Office of the Provost and Vice-President, Academic, and the Office of the Vice-President, Administration and Operations led the SVP Review process.

The SVP Review involved a consultation process with TMU students, faculty, contract lecturers and staff, unions and other key stakeholders and subject-matter experts.

The SVP Core Advisory Group reviewed submissions and feedback received through the consultation process. The Core Advisory Group is comprised of staff from units across the university who have strong knowledge of the SVP and its implementation.

Core Advisory Group:

Acting Director, Human Rights Services
Director, Student Care and and Sexual Violence Support
Director, Strategic Partnerships & Labour Relations, Human Resources
Interim Vice-Provost, Faculty Affairs
Legal Counsel, Office of General Counsel and Board Secretariat
Two project managers: 

Policy Review Facilitator, Human Rights Services 
Strategic Projects Liaison, Office of the Vice Provost, Students
One external consultant: 

Policy writer"
Ted Rogers School of Management,Master of Science in Management,Application,Adding Another Referee,https://www.torontomu.ca/tedrogersschool/master-science-management/admissions/faqs/#accordion-content-1571336304732-adding-another-referee-,"As stated on YSGPS website, we do not change referees once the application has been submitted unless in extenuating circumstances. Applicants can send an email to gradreference@torontomu.ca
(opens in new window)
to request a change with an explanation for their request.","Adding Another Referee
As stated on YSGPS website, we do not change referees once the application has been submitted unless in extenuating circumstances. Applicants can send an email to gradreference@torontomu.ca
(opens in new window)
to request a change with an explanation for their request."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,Can I still apply for a Vulnerable Sector Screening/Check if I am under 18 years of age?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619624744573-can-i-still-apply-for-a-vulnerable-sector-screening-check--if-i-am-under-18-years-of-age-,"As per the Youth Criminal Justice Act (YCJA), applicants under the age of 18 do not qualify for a Vulnerable Sector Screen. Please email the CPO to ensure this is appropriately documented on HSPNet
(external link, opens in new window)
.","Can I still apply for a Vulnerable Sector Screening/Check if I am under 18 years of age?
As per the Youth Criminal Justice Act (YCJA), applicants under the age of 18 do not qualify for a Vulnerable Sector Screen. Please email the CPO to ensure this is appropriately documented on HSPNet
(external link, opens in new window)
."
Daphne Cockwell Scholl of Nursing,Central Placement Office,COVID-19 Placement,What is the definition of fully vaccinated?,https://www.torontomu.ca/nursing/central-placement-office/faqs/placement-during-covid-19/#accordion-content-1651760340013-what-is-the-definition-of-fully-vaccinated-,"As per the province of Ontario Ministry of Health definition, 

You are considered fully vaccinated in Ontario if you have received:

the full primary series of a COVID-19 vaccine authorized by Health Canada, or any combination of such vaccines (two doses of Moderna, Pfizer-BioNTech, Novavax, Medicago, AstraZeneca, including COVISHIELD) in any combination or one dose of Janssen (Johnson & Johnson); or
a full or partial primary series of a non-Health Canada authorized vaccine plus any additional recommended doses of a Health Canada authorized COVID-19 vaccine to complete the primary series; and
your final dose of the COVID-19 vaccine at least 14 days before providing the proof of being fully vaccinated.Individuals should receive all recommended doses (including booster doses) to stay up to date with their COVID-19 vaccines. Visit the Recommended Doses guidance
(external link, opens in new window)
to see if you are up to date.","What is the definition of fully vaccinated?
As per the province of Ontario Ministry of Health definition, 

You are considered fully vaccinated in Ontario if you have received:

the full primary series of a COVID-19 vaccine authorized by Health Canada, or any combination of such vaccines (two doses of Moderna, Pfizer-BioNTech, Novavax, Medicago, AstraZeneca, including COVISHIELD) in any combination or one dose of Janssen (Johnson & Johnson); or
a full or partial primary series of a non-Health Canada authorized vaccine plus any additional recommended doses of a Health Canada authorized COVID-19 vaccine to complete the primary series; and
your final dose of the COVID-19 vaccine at least 14 days before providing the proof of being fully vaccinated.Individuals should receive all recommended doses (including booster doses) to stay up to date with their COVID-19 vaccines. Visit the Recommended Doses guidance
(external link, opens in new window)
to see if you are up to date."
Ted Rogers School of Management,Master of Science in Management,General Inquiries,How will classes be delivered in 2022 (Winter/Spring/Fall)?,https://www.torontomu.ca/tedrogersschool/master-science-management/admissions/faqs/#accordion-content-1623762633786-how-will-classes-be-delivered-in-2022--winter-spring-fall--,"As of Winter 2022, students, faculty and staff have returned to campus. The majority of classes are now being offered in person. Classes are expected to continue being offered in person for the following semesters in the Spring and Fall of 2022. It is a requirement for students to attend classes in the format they are offered in.","How will classes be delivered in 2022 (Winter/Spring/Fall)?
As of Winter 2022, students, faculty and staff have returned to campus. The majority of classes are now being offered in person. Classes are expected to continue being offered in person for the following semesters in the Spring and Fall of 2022. It is a requirement for students to attend classes in the format they are offered in."
 Budget,2024-38,"Students ,Faculty and Staff",How is the student experience being prioritized in the budget planning process?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1581354420495-how-is-the-student-experience-being-prioritized-in-the-budget-planning-process--,"As demonstrated in past years, Toronto Metropolitan University is focused on our core values throughout the budget-planning and consultation process ' especially protecting and enhancing the student experience. The 2024-25 budget cycle will continue to prioritize the student community. In the past year, the university has made significant investments in student wellness, for example.","How is the student experience being prioritized in the budget planning process?
As demonstrated in past years, Toronto Metropolitan University is focused on our core values throughout the budget-planning and consultation process ' especially protecting and enhancing the student experience. The 2024-25 budget cycle will continue to prioritize the student community. In the past year, the university has made significant investments in student wellness, for example."
Ted Rogers School of Management,MBA,Grades and Transcripts,"I wish to transfer from another Master's program, would I be eligible for transfer credits  for Ted Rogers MBA program?",https://www.torontomu.ca/mba/contact-faq/#accordion-content-1493066494609-i-wish-to-transfer-from-another-master-s-program--would-i-be-eligible-for-transfer-credits-,"As a Yeates School of Graduate and Postdoctoral Studies student you are eligible to apply for transfer credits if you have completed graduate-level coursework but have not been awarded a graduate degree.

Transfer credits must be requested at the time of application. Before applying for transfer credits see your program administrator. Your program administrator will help you apply for the transfer credit. 

Approved transfer credits will be posted to your Transfer Credit Report on MyServiceHub (my.torontomu.ca.)","I wish to transfer from another Master's program, would I be eligible for transfer credits  for Ted Rogers MBA program?
As a Yeates School of Graduate and Postdoctoral Studies student you are eligible to apply for transfer credits if you have completed graduate-level coursework but have not been awarded a graduate degree.

Transfer credits must be requested at the time of application. Before applying for transfer credits see your program administrator. Your program administrator will help you apply for the transfer credit. 

Approved transfer credits will be posted to your Transfer Credit Report on MyServiceHub (my.torontomu.ca.)"
Ted Rogers School of Management,Business Career Hub,Co-op,What resources are available to support me as a co-op student?,https://www.torontomu.ca/tedrogersschool/business-career-hub/co-op/faq/#accordion-content-1698700472824-what-resources-are-available-to-support-me-as-a-co-op-student-,"As a Ted Rogers Co-op student, you will have an assigned Co-op Coordinator to help you throughout your co-op journey. Co-op Coordinators will help with all aspects of the job search including resume and cover letter writing, interview preparation and more!

While on a work term, you will receive either a scheduled meeting with a member of the co-op team and your co-op manager to discuss how the work term is going, or you will receive an online check-in form to complete.","What resources are available to support me as a co-op student?
As a Ted Rogers Co-op student, you will have an assigned Co-op Coordinator to help you throughout your co-op journey. Co-op Coordinators will help with all aspects of the job search including resume and cover letter writing, interview preparation and more!

While on a work term, you will receive either a scheduled meeting with a member of the co-op team and your co-op manager to discuss how the work term is going, or you will receive an online check-in form to complete."
Daphne Cockwell Scholl of Nursing,Graduate,Admissions,What kind of funding is available?,https://www.torontomu.ca/nursing/graduate/admissions/master-nursing-faqs/#accordion-content-1602696919994-what-kind-of-funding-is-available-,"As a student in Toronto Metropolitan Universitys Master of Nursing program, youll have access to a variety of internal and external funding opportunities. 

Internal Funding: includes graduate scholarships, graduate awards & teaching assistant positions for MN students, as well as general funding for Toronto Metropolitan University Graduate Students. 

External Funding: includes funding from nursing organizations, Ontario Graduate Scholarships, and the Ministry of Training, Colleges, and Universities Tuition Waiver program. To find out about these and other funding opportunities, check out our programs.","What kind of funding is available?
As a student in Toronto Metropolitan Universitys Master of Nursing program, youll have access to a variety of internal and external funding opportunities. 

Internal Funding: includes graduate scholarships, graduate awards & teaching assistant positions for MN students, as well as general funding for Toronto Metropolitan University Graduate Students. 

External Funding: includes funding from nursing organizations, Ontario Graduate Scholarships, and the Ministry of Training, Colleges, and Universities Tuition Waiver program. To find out about these and other funding opportunities, check out our programs."
Ted Rogers School of Management,MBA,Careers,"As a currently employed part-time student, how can the Graduate Careers Team help me  for Ted Rogers MBA program?",https://www.torontomu.ca/mba/contact-faq/#accordion-content-1493066420493-as-a-currently-employed-part-time-student--how-can-the-graduate-careers-team-help-me-,"As a part-time student, you are entitled to all of the services the MBA Careers Team offers. While you may currently be employed, the services extend past MBA graduation. If you are ever looking to make a career transition, or need help negotiating your salary, work expectations, etc., the MBA Careers Team can help.","As a currently employed part-time student, how can the Graduate Careers Team help me  for Ted Rogers MBA program?
As a part-time student, you are entitled to all of the services the MBA Careers Team offers. While you may currently be employed, the services extend past MBA graduation. If you are ever looking to make a career transition, or need help negotiating your salary, work expectations, etc., the MBA Careers Team can help."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,"I am a new Full-time Direct-Entry CYC student, will I be automatically enroled in my first year courses?",https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1658784448847-i-am-a-new-full-time-direct-entry-cyc-student--will-i-be-automatically-enroled-in-my-first-year-courses-,"As a Full-time, Direct-Entry student, you are technically entering into the 3rd year of the program. You are required to enrol into both mandatory and elective courses. Please refer to the 3rd year enrolment instructions on the course enrolment website for your priority enrolment date, deadlines and instructions on how to enrol.","I am a new Full-time Direct-Entry CYC student, will I be automatically enroled in my first year courses?
As a Full-time, Direct-Entry student, you are technically entering into the 3rd year of the program. You are required to enrol into both mandatory and elective courses. Please refer to the 3rd year enrolment instructions on the course enrolment website for your priority enrolment date, deadlines and instructions on how to enrol."
Daphne Cockwell Scholl of Nursing,Undergraduate,Post-Diploma Degree Completion Program (BScN)  Full Time,Which resources on campus can I access to help me with my studies?,https://www.torontomu.ca/nursing/undergraduate/faqs/#accordion-content-1602696760824-which-resources-on-campus-can-i-access-to-help-me-with-my-studies-,"As a full-time undergraduate student, you can access all campus resources provided by Student Affairs, including Tri-Mentoring, the Centre for Student Development and Counselling, and Student Learning Support. You can also access numerous workshops and online resources to help you succeed in your courses.","Which resources on campus can I access to help me with my studies?
As a full-time undergraduate student, you can access all campus resources provided by Student Affairs, including Tri-Mentoring, the Centre for Student Development and Counselling, and Student Learning Support. You can also access numerous workshops and online resources to help you succeed in your courses."
Graduation,Convocation,Convocation,When do I arrive for my ceremony?,https://www.torontomu.ca/convocation/faq/,"Arrive on time for your ceremony (8:00 a.m. for 9:30 a.m. ceremony; 2:00 p.m. for 3:30 p.m. ceremony) and sign in using your confirmation or OneCard. The procession starts 30 minutes before the ceremony, so it is very important for you to arrive on time.","When do I arrive for my ceremony?
Arrive on time for your ceremony (8:00 a.m. for 9:30 a.m. ceremony; 2:00 p.m. for 3:30 p.m. ceremony) and sign in using your confirmation or OneCard. The procession starts 30 minutes before the ceremony, so it is very important for you to arrive on time."
